locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	马尔可夫链	事件、随机事件
cmn-Latn-CN	Mǎ’ěrkěfū liàn	shì jiàn, suíjī shìjiàn
dan-Latn-DK		
deu-Latn-DE	Markow-Kette, Markow-Prozess [m]	Ereignis, Zufallsereignis
eng-Latn-US	Markov chain, Markov process	event
fin-Latn-FI		
fra-Latn-FR	chaîne [f] de Markov	événement
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	マルコフれんさ	じしょう
jpn-Jpan-JP	マルコフ連鎖	事象
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	це́пь Ма́ркова	случа́йное собы́тие
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
