locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	持续论、持续理论	同一性；
cmn-Latn-CN	chíxù lùn, chíxù lǐlùn	tóngyī xìng; 
dan-Latn-DK		; 
deu-Latn-DE		Identität; 
eng-Latn-US	endurance theory, endurantism	identity (metaphysics); peristence
fin-Latn-FI		; 
fra-Latn-FR	endurance	identité; 
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP		どういつせい; 
jpn-Jpan-JP		同一性；
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	эндуранти́зм	то́ждество; 
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
