locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	合金	化学元素；金属；混合物
cmn-Latn-CN	hé jīn	huàxué yuánsù; jīn shǔ; hùnhé wù
dan-Latn-DK		; ; 
deu-Latn-DE	Legierung	chemisches Element; Metalle; Gemisch [n], Stoffgemisch [n]
eng-Latn-US	alloy	chemical element; metal; mixture
fin-Latn-FI		; ; 
fra-Latn-FR	alliage	élément chimique; métal; mélange [m]
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	ごうきん	げんそ; きんぞく; こんごうぶつ
jpn-Jpan-JP	合金	元素；金属；混合物
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU	сплав	хими́ческий элеме́нт; мета́ллы; смесь
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
