locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	密度	
cmn-Latn-CN	mì dù	
dan-Latn-DK		
deu-Latn-DE	Dichte, Massendichte	
eng-Latn-US	density, specific mass, volumetric mass density	
fin-Latn-FI		
fra-Latn-FR	densité volumique de masse [f], masse [f] volumique	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	みつど	
jpn-Jpan-JP	密度	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	пло́тность	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ	rho	
