locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	音强	声波、声学波动；；
cmn-Latn-CN	yīn qiáng	shēng bō, shēngxué bōdòng; ; 
dan-Latn-DK		; ; 
deu-Latn-DE	Schallintensität	Akustikwelle, Schallwelle, akustische Welle; ; 
eng-Latn-US	acoustic intensity, sound intensity	acoustic wave; area; power
fin-Latn-FI		; ; 
fra-Latn-FR	intensité acoustique	onde [f] acoustique; ; 
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	おとのつよさ	おんぱ; ; 
jpn-Jpan-JP	音の強さ	音波；；
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU	интенси́вность зву́ка	акусти́ческая волна́; ; 
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
