locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	声音	声波、声学波动；传输介质；振动
cmn-Latn-CN	shēng yīn	shēng bō, shēngxué bōdòng; chuánshū jièzhì; zhèn dòng
dan-Latn-DK		; ; 
deu-Latn-DE	Schall [m]	Akustikwelle, Schallwelle, akustische Welle; Übertragungsmedium, Übertragungsmittel; Erschütterung, Vibration
eng-Latn-US	sound	acoustic wave; transmission medium; vibration
fin-Latn-FI		; ; 
fra-Latn-FR	son [m]	onde [f] acoustique; support de transmission; vibration
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	おと	おんぱ; ばいしつ; しんどう
jpn-Jpan-JP	音	音波；媒質；振動
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU	звук	акусти́ческая волна́; среда́ переда́чи; вибра́ция
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
