locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ ؛ 
cmn-Hans-CN	杰斐缅柯方程	；电流密度；电场；磁场
cmn-Latn-CN	Jiéfěimiǎnkē fāngchéng	; diànliú mìdù; diàn chǎng; cí chǎng
dan-Latn-DK		; ; ; 
deu-Latn-DE		; ; elektrisches Feld; Magnetfeld [n]
eng-Latn-US	Jefimenko’s equations	charge density; current density; electric field; magnetic field
fin-Latn-FI		; ; ; 
fra-Latn-FR		; ; champ [m] électrique; 
heb-Hebr-IL		; ; ; 
hin-Deva-IN		; ; ; 
ita-Latn-IT		; ; ; 
jpn-Hrkt-JP	ジェフィメンコほうていしき	; でんりゅうみつど; でんかい、でんば; じかい、じば
jpn-Jpan-JP	ジェフィメンコ方程式	；電流密度；電界、電場；磁界、磁場
kor-Hang-KR		; ; ; 
kor-Kore-KR		; ; ; 
nld-Latn-NL		; ; ; 
nob-Latn-NO		; ; ; 
pes-Aran-IR		؛ ؛ ؛ 
por-Latn-PT		; ; ; 
rus-Cyrl-RU	уравне́ния Ефиме́нко	; ; Электри́ческое по́ле; магни́тное по́ле
spa-Latn-ES		; ; ; 
swe-Latn-SE		; ; ; 
tur-Latn-TR		; ; ; 
zxx-Zmth-ZZ		
