locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	电磁四维势	；
cmn-Latn-CN	diàncí sìwéi shì	; 
dan-Latn-DK		; 
deu-Latn-DE		; 
eng-Latn-US	electromagnetic four-potential	electromagnetic field; vector-valued function, vector function
fin-Latn-FI		; 
fra-Latn-FR	champ de jauge [f], quadri-potentiel [m], quadrivecteur potentiel	; 
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	でんじポテンシャル	; 
jpn-Jpan-JP	電磁ポテンシャル	；
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	электромагни́тный потенциа́л	; 
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ	A^alpha	
