locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	电磁感应	电导体；电动势；磁场
cmn-Latn-CN	diàncí gǎnyìng	diàn dǎotǐ; diàndòng shì; cí chǎng
dan-Latn-DK		; ; 
deu-Latn-DE	Faradaysche Induktion, elektromagnetische Induktion	elektrischer Leiter; elektromotorische Kraft; Magnetfeld [n]
eng-Latn-US	electromagnetic induction, magnetic induction	electrical conductor; electromotance, electromotive force; magnetic field
fin-Latn-FI		; ; 
fra-Latn-FR	induction électromagnétique	conducteur d’électricité; force électromotrice, électromotance; 
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	でんじゆうどう	でんきでんどうたい; きでんりょく; じかい、じば
jpn-Jpan-JP	電磁誘導	電気伝導体；起電力；磁界、磁場
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU	электромагни́тная инду́кция	проводни́к; электродви́жущая си́ла; магни́тное по́ле
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
