locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	泊松比	
cmn-Latn-CN	Bósōng bǐ	
dan-Latn-DK		
deu-Latn-DE	Poissonzahl [f], Querkontraktionszahl [f]	
eng-Latn-US	Poisson’s ratio	compression; elongation; structural action, structural load
fin-Latn-FI		
fra-Latn-FR	coefficient de Poisson	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ポアソンひ	
jpn-Jpan-JP	ポアソン比	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	коэффицие́нт Пуассо́на	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ	nu	
