locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	形变	物体、物理实体
cmn-Latn-CN	xíng biàn	wù tǐ, wùlǐ shítǐ
dan-Latn-DK		
deu-Latn-DE	Deformation, Verformung, Verzerrung	physikalischer Körper
eng-Latn-US	deformation	physical body, physical object
fin-Latn-FI		
fra-Latn-FR	déformation des matériaux [m-pl]	corps [m] physique
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	へんけい	ぶったい
jpn-Jpan-JP	変形	物体
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	деформа́ция	те́ло в фи́зике, физи́ческий объе́кт, физи́ческое те́ло
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
