locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN		形变；应力
cmn-Latn-CN		xíng biàn; yìng lì
dan-Latn-DK		; 
deu-Latn-DE		Deformation, Verformung, Verzerrung; Spannung
eng-Latn-US	linear elasticity	deformation; stress
fin-Latn-FI		; 
fra-Latn-FR		déformation des matériaux [m-pl]; 
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP		へんけい; おうりょく
jpn-Jpan-JP		変形；応力
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU		деформа́ция; 
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
