locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	塑性变形	塑性
cmn-Latn-CN	sùxìng biànxíng	sù xìng
dan-Latn-DK		
deu-Latn-DE	plastische Verformbarkeit	Plastizität
eng-Latn-US	plastic deformation	plasticity
fin-Latn-FI		
fra-Latn-FR	déformation plastique	plasticité
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	そせいへんけい	そせい
jpn-Jpan-JP	塑性変形	塑性
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU		пласти́чность
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
