locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	角位移、角移	角；
cmn-Latn-CN	jiǎo wèiyí, jiǎo yí	jiǎo; 
dan-Latn-DK		; 
deu-Latn-DE	Winkelverschiebung	; 
eng-Latn-US	angular displacement	angle; axis
fin-Latn-FI		; 
fra-Latn-FR		; 
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	へんいかくど	; 
jpn-Jpan-JP	偏位角度	；
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU		; 
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ	bbtheta, vectheta	
