locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	圆周运动	圆周；运动
cmn-Latn-CN	yuánzhōu yùndòng	yuán zhōu; yùn dòng
dan-Latn-DK		; 
deu-Latn-DE	Kreisbewegung	Kreisumfang; Bewegung
eng-Latn-US	circular motion	circumference; motion
fin-Latn-FI		; 
fra-Latn-FR	mouvement circulaire	circonférence; mouvement
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	えんうんどう	えんしゅう; うんどう
jpn-Jpan-JP	円運動	円周；運動
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	кругово́е движе́ние	окру́жность (верёвка); движе́ние
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
