locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	动能	；运动
cmn-Latn-CN	dòng néng	; yùn dòng
dan-Latn-DK		; 
deu-Latn-DE	Bewegungsenergie, kinetische Energie	; Bewegung
eng-Latn-US	kinetic energy	energy; motion
fin-Latn-FI		; 
fra-Latn-FR	énergie cinétique	; mouvement
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	うんどうエネルギー	; うんどう
jpn-Jpan-JP	運動エネルギー	；運動
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	кинети́ческая эне́ргия	; движе́ние
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ	E_k, K, KE, T	
