locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	变加速度直线运动	角加速度；直线运动
cmn-Latn-CN	biàn jiāsùdù zhíxiàn yùndòng	jiǎo jiāsùdù; zhíxiàn yùndòng
dan-Latn-DK		; 
deu-Latn-DE	ungleichförmig beschleunigte geradlineare Bewegung	Winkelbeschleunigung; gradlinige Bewegung, lineare Bewegung
eng-Latn-US	non-uniformly accelerated rectilinear motion	angular acceleration; linear motion, rectilinear motion
fin-Latn-FI		; 
fra-Latn-FR	mouvement rectiligne non uniformément accéléré	accélération angulaire; mouvement rectiligne
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP	ひとうかそくどちょくせんうんどう、ふとうかそくどちょくせんうんどう	かくかそくど; ちょくどうせんうんどう
jpn-Jpan-JP	非等加速度直線運動、不等加速度直線運動	角加速度；直動線運動
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU	неравноме́рно уско́ренное прямолине́йное движе́ние	углово́е ускоре́ние; прямолине́йное движе́ние
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
