locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	力偶	
cmn-Latn-CN	lì ǒu	
dan-Latn-DK		
deu-Latn-DE	Kraftpaar [n], Kräftepaar [n]	
eng-Latn-US	couple, force couple, pure moment	moment of force, torque; resultant force
fin-Latn-FI		
fra-Latn-FR	couple [m], couple [m] de forces [f-pl]	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ぐうりょく	
jpn-Jpan-JP	偶力	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	па́ра сил	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ	bbtau, vectau	
