locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ ؛ 
cmn-Hans-CN	紫外线	X射线、伦琴射线；暗盒、暗箱；；
cmn-Latn-CN	zǐwài xiàn	Lúnqín shèxiàn, X shèxiàn; àn hé, àn xiāng; ; 
dan-Latn-DK		; ; ; 
deu-Latn-DE	Ultraviolettstrahlung	Röntgenstrahl [m], Röntgenstrahlung; Camera [f] obscura; ; 
eng-Latn-US	ultraviolet	X-radiation, X-ray; camera obscura [camerae obscurae]; electromagnetic radiation; spatial period, wavelength
fin-Latn-FI		; ; ; 
fra-Latn-FR	ultraviolet	rayon X; chambre noire; ; 
heb-Hebr-IL		; ; ; 
hin-Deva-IN		; ; ; 
ita-Latn-IT		; ; ; 
jpn-Hrkt-JP	しがいせん	エックスせん、レントゲンせん; カメラ・オブスクラ; ; 
jpn-Jpan-JP	紫外線	X線、レントゲン線せん；カメラ・オブスクラ；；
kor-Hang-KR		; ; ; 
kor-Kore-KR		; ; ; 
nld-Latn-NL		; ; ; 
nob-Latn-NO		; ; ; 
pes-Aran-IR		؛ ؛ ؛ 
por-Latn-PT		; ; ; 
rus-Cyrl-RU	ультрафиоле́товое излуче́ние	рентге́новское излуче́ние; ка́мера-обску́ра; ; 
spa-Latn-ES		; ; ; 
swe-Latn-SE		; ; ; 
tur-Latn-TR		; ; ; 
zxx-Zmth-ZZ		
