locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	比热、比热容、比热容量	
cmn-Latn-CN	bǐ rè, bǐrè róng, bǐrè róngliàng	
dan-Latn-DK		
deu-Latn-DE	spezifische Wärmekapazität	
eng-Latn-US	specific heat capacity	
fin-Latn-FI		
fra-Latn-FR	capacité thermique massique, chaleur [f] massique, chaleur [f] spécifique	
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	ひねつ、ひねつようりょう	
jpn-Jpan-JP	比熱、比熱容量	
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	уде́льная теплоёмкость	
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ	c	
