locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	三相点	相变、物态变化；；温度
cmn-Latn-CN	sānxiàng diǎn	wùtài biànhuà, xiàng biàn; ; wēn dù
dan-Latn-DK		; ; 
deu-Latn-DE	Dreiphasenpunkt [m], Tripelpunkt [m]	Phasentransformation, Phasenumwandlung, Phasenübergang [m]; ; Temperatur
eng-Latn-US	triple point	phase change, phase transition; pressure; temperature
fin-Latn-FI		; ; 
fra-Latn-FR	point triple	transition de phase; ; température
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	さんじゅうてん	そうてんい; ; おんど
jpn-Jpan-JP	三重点	相転移；；温度
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU	тройна́я то́чка	фа́зовый перехо́д; ; температу́ра
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
