locale	subject
arb-Arab-ZZ	
cmn-Hans-CN	
cmn-Latn-CN	
dan-Latn-DK	
deu-Latn-DE	
eng-Latn-US	_{atomic, molecular and optical physics}__optics__condensed matter physics__electromagnetism__nuclear physics__metrology__`conservation laws`__electronics__chemical kinetics_, _reaction kinetics__electrochemistry__`separation processes`__`transport phenomena`__`chemical properties`__`chemical reactions`__physical chemistry__organic chemistry__nuclear chemistry__inorganic chemistry__`chemical bonds`__analytical chemistry__environmental chemistry__`chemical phenomena`__`chemical elements`__quantum chemistry__atmospheric chemistry__chronology__material science__space science__physics__chemistry__earth science_, _geoscience__`laboratory equipments`__life science__physical science__diachronic linguistics_, _historical linguistics__semantics__neurolinguistics__pragmatics__sociolinguistics__psycholinguistics_, _psychology of language__general linguistics__syntax__linguistic typology__lexicography__phonetics__phonology__applied linguistics__morphology__social psychology__cognitive psychology__personality psychology__developmental psychology__evolutionary psychology__mathematical psychology__psychophysics__biological psychology__neuropsychology__abnormal psychology__cartography__jurisprudence__economics__linguistics__sociology__political science__psychology__pedagogy__geography__anthropology__demography__ontology__epistemology_, _theory of knowledge__metaphysics__philosophy__photonics__chemical reaction engineering__engineering drawing__modelling language__circuit diagram__architectural drawing__`electronic components`__broadcast engineering__`electric machines`__structural engineering__`heat treatings`_, _`heat treatments`__hydraulics and pneumatics__`machine elements`__`machine tools`__`gear`__metalworking__automotive engineering__theory of inventive problem solving__`simple machines`__tribology__computer language__`digital modulations`__`analog modulations`__`modulations`__optical engineering__chemical engineering__technical drawing__electrical engineering__robotics__computer engineering__civil engineering__mechanical engineering__energy engineering_, _energy systems engineering__software engineering__telecommunications engineering__theoretical computer science__medicine__engineering__computer science__information theory__cybernetics__general systems theory__control theory__abstract algebra__common algebra_, _universal algebra__group theory__linear algebra__category theory__multilinear algebra__homological algebra__ring theory__commutative algebra__axiomatic set theory__`operations on a set`__Boolean algebra__set theory__algebraic logic__proof theory__model theory__computability theory_, _recursion theory__type theory__combinatorics__order theory__game theory__graph theory__mathematical computation__geometric topology__differential topology__general topology__algebraic topology__multivariable calculus_, _multivariate calculus__real analysis__calculus__harmonic analysis__functional analysis__vector analysis_, _vector calculus__numerical analysis__complex analysis__Fourier analysis__`division algorithms`__`multiplication algorithms`__`algorithms in arithmetic`__`numbers`__`logarithms`__`roundings`__`fractions`__`arithmetic operations`__`finger countings`__`arithmetic operands`__`positional notations`__`mechanical calculators`__`inverses`__arithmetic__Diophantine approximation__analytic number theory__algebraic number theory__`mathematical constants`__`trigonometric functions`__trigonometry__`two-dimensional figures`_, _`two-dimensional shapes`__`geometric transformations`__`angles`__`three-dimensional figures`_, _`three-dimensional shapes`__convex geometry__plane geometry__solid geometry_, _stereometry__Riemannian geometry__symplectic geometry__differential geometry__Lobachevskian geometry_, _hyperbolic geometry__spherical geometry__projective geometry__affine geometry__elliptic geometry__finite geometry__complex geometry__axiomatic geometry_, _pure geometry_, _synthetic geometry__Euclidean geometry__analytic geometry_, _Cartesian geometry_, _coordinate geometry__algebraic geometry__non-Euclidean geometry__algebra__mathematical logic__probability theory__discrete mathematics__computational science__topology__chaos theory__mathematical analysis__number theory__geometry__classical logic_, _standard logic__alternative logic_, _non-classical logic__formal logic__informal logic__descriptive statistics__statistical inference__regression analysis__survival analysis__multivariate analysis__systems science__mathematics__logic__statistics__information science_, _information studies__data science__natural science__social science__humanities____pycache____applied science__formal science_
fin-Latn-FI	
fra-Latn-FR	
heb-Hebr-IL	
hin-Deva-IN	
ita-Latn-IT	
jpn-Hrkt-JP	
jpn-Jpan-JP	
kor-Hang-KR	
kor-Kore-KR	
nld-Latn-NL	
nob-Latn-NO	
pes-Aran-IR	
por-Latn-PT	
rus-Cyrl-RU	
swe-Latn-SE	
spa-Latn-ES	
tur-Latn-TR	
zxx-Zmth-ZZ
